V,E,T(n) std,T(n) fibo,T(n) binary
50.0, 1225.0, 1.421255, 0.666948, 0.227182
50.0, 1225.0, 0.664312, 1.784159, 0.366493
50.0, 1225.0, 0.190216, 1.607504, 0.182983
50.0, 1225.0, 0.449415, 0.938588, 0.036683
50.0, 1225.0, 0.472141, 0.887798, 0.08588
50.0, 1225.0, 0.104262, 0.586057, 0.14722
50.0, 1225.0, 0.408296, 1.23704, 0.041881
50.0, 1225.0, 0.158605, 1.281233, 0.198311
50.0, 1225.0, 0.154195, 0.29365, 0.182573
50.0, 1225.0, 0.445029, 0.333433, 0.224181
50.0, 1225.0, 0.350089, 0.733726, 0.22981
50.0, 1225.0, 0.217542, 0.389387, 0.193122
50.0, 1225.0, 0.379241, 0.464224, 0.04541
50.0, 1225.0, 0.042661, 0.425386, 0.097613
50.0, 1225.0, 0.038438, 0.211652, 0.12161
50.0, 1225.0, 0.344011, 0.141524, 0.027955
50.0, 1225.0, 0.224071, 0.455357, 0.23204
50.0, 1225.0, 0.345177, 0.438552, 0.174603
50.0, 1225.0, 0.21984, 0.267382, 0.142979
50.0, 1225.0, 0.210646, 0.264237, 0.050991
50.0, 1225.0, 0.172642, 0.051806, 0.015537
50.0, 1225.0, 0.048648, 0.112215, 0.100261
50.0, 1225.0, 0.019999, 0.200198, 0.015003
50.0, 1225.0, 0.075442, 0.222196, 0.105553
50.0, 1225.0, 0.039534, 0.090307, 0.06763
50.0, 1225.0, 0.125691, 0.337167, 0.035098
50.0, 1225.0, 0.057686, 0.353894, 0.034012
50.0, 1225.0, 0.25605, 0.375826, 0.0406
50.0, 1225.0, 0.21563, 0.049758, 0.027966
50.0, 1225.0, 0.080496, 0.194856, 0.135848
50.0, 1225.0, 0.172513, 0.203864, 0.088628
50.0, 1225.0, 0.178153, 0.104379, 0.07747
50.0, 1225.0, 0.093953, 0.136198, 0.039259
50.0, 1225.0, 0.123828, 0.16986, 0.017682
50.0, 1225.0, 0.1079, 0.166119, 0.041489
50.0, 1225.0, 0.138137, 0.234482, 0.060406
50.0, 1225.0, 0.27574, 0.452924, 0.158559
50.0, 1225.0, 0.078082, 0.193599, 0.040376
50.0, 1225.0, 0.202057, 0.371306, 0.016881
50.0, 1225.0, 0.134557, 0.110243, 0.157636
100.0, 4950.0, 1.144923, 1.359105, 0.24775
100.0, 4950.0, 1.345511, 1.922462, 0.976563
100.0, 4950.0, 1.78055, 2.261916, 0.2642
100.0, 4950.0, 0.244884, 1.469423, 0.743913
100.0, 4950.0, 1.220519, 1.892228, 0.113305
100.0, 4950.0, 0.735422, 0.830644, 0.534949
100.0, 4950.0, 0.498052, 0.834488, 0.717291
100.0, 4950.0, 1.060047, 1.256934, 0.67085
100.0, 4950.0, 1.556652, 0.413486, 0.389638
100.0, 4950.0, 1.328372, 0.252456, 0.626776
100.0, 4950.0, 1.097221, 1.481384, 0.111689
100.0, 4950.0, 0.77711, 1.516495, 0.456234
100.0, 4950.0, 0.794706, 1.130489, 0.677677
100.0, 4950.0, 1.568713, 1.030708, 0.711549
100.0, 4950.0, 0.454096, 0.425309, 0.374661
100.0, 4950.0, 0.233424, 1.35858, 0.256259
100.0, 4950.0, 1.747992, 0.513306, 0.616678
100.0, 4950.0, 2.061997, 2.009162, 0.263206
100.0, 4950.0, 0.74934, 0.54695, 1.026858
100.0, 4950.0, 0.299194, 2.177885, 0.492498
100.0, 4950.0, 0.994724, 1.587715, 1.038193
100.0, 4950.0, 0.228842, 1.983232, 0.167221
100.0, 4950.0, 0.485259, 0.779417, 0.384142
100.0, 4950.0, 0.219905, 0.358999, 1.030422
100.0, 4950.0, 1.730315, 0.326925, 0.364279
100.0, 4950.0, 1.218628, 2.018479, 0.431128
100.0, 4950.0, 1.350052, 0.82051, 0.107714
100.0, 4950.0, 0.229636, 0.325225, 0.500582
100.0, 4950.0, 1.236131, 1.684908, 0.66306
100.0, 4950.0, 1.178592, 0.342737, 0.379886
100.0, 4950.0, 0.229114, 0.814709, 0.701132
100.0, 4950.0, 1.366704, 0.512174, 0.108818
100.0, 4950.0, 2.156603, 1.191165, 0.430317
100.0, 4950.0, 1.040685, 1.043552, 0.587189
100.0, 4950.0, 1.37561, 1.192979, 0.928542
100.0, 4950.0, 0.258466, 0.99499, 0.653295
100.0, 4950.0, 1.101779, 0.518601, 1.03512
100.0, 4950.0, 1.812901, 0.394107, 0.158235
100.0, 4950.0, 0.238799, 1.710121, 0.238649
100.0, 4950.0, 1.974155, 1.486791, 0.11906
150.0, 11175.0, 1.577444, 1.969343, 1.272169
150.0, 11175.0, 1.794314, 1.141809, 1.113866
150.0, 11175.0, 2.366757, 0.434485, 0.430787
150.0, 11175.0, 2.206041, 0.892054, 0.258042
150.0, 11175.0, 3.671627, 1.440918, 1.553239
150.0, 11175.0, 0.617759, 1.996328, 1.149808
150.0, 11175.0, 3.680377, 2.183684, 1.903212
150.0, 11175.0, 1.195013, 1.127457, 0.716793
150.0, 11175.0, 2.116102, 1.737399, 1.688187
150.0, 11175.0, 3.29618, 1.042257, 1.600796
150.0, 11175.0, 3.880272, 2.242609, 1.288126
150.0, 11175.0, 3.434581, 0.243539, 1.1973
150.0, 11175.0, 1.761403, 1.470128, 1.022268
150.0, 11175.0, 2.841103, 1.439946, 0.518005
150.0, 11175.0, 0.802906, 1.234952, 1.495657
150.0, 11175.0, 1.836182, 1.810246, 1.601712
150.0, 11175.0, 3.801432, 0.621107, 1.0475
150.0, 11175.0, 2.413656, 1.716962, 0.227988
150.0, 11175.0, 2.544203, 0.764644, 0.685236
150.0, 11175.0, 3.678941, 2.109546, 1.607716
150.0, 11175.0, 1.80189, 0.466236, 0.27128
150.0, 11175.0, 2.451128, 0.331057, 1.107541
150.0, 11175.0, 1.744185, 0.950021, 1.201457
150.0, 11175.0, 3.611341, 1.111301, 0.522266
150.0, 11175.0, 0.584973, 1.131338, 1.823825
150.0, 11175.0, 1.279485, 0.622365, 1.400366
150.0, 11175.0, 1.26616, 1.784322, 0.819038
150.0, 11175.0, 1.272962, 1.963771, 0.880806
150.0, 11175.0, 1.626928, 1.560974, 0.19686
150.0, 11175.0, 2.968231, 2.172424, 0.207037
150.0, 11175.0, 4.117852, 2.375018, 0.152982
150.0, 11175.0, 2.030621, 1.326485, 1.818996
150.0, 11175.0, 0.583988, 1.089607, 2.485931
150.0, 11175.0, 3.721448, 1.876107, 1.503045
