V,E,T(n) std,T(n) fibo,T(n) binary
50.0, 49.0, 0.968417, 4.621082, 4.0571
50.0, 49.0, 5.897215, 4.165488, 1.268669
50.0, 49.0, 0.180567, 1.047242, 2.422551
50.0, 49.0, 0.138077, 1.547218, 0.341301
50.0, 49.0, 2.521425, 4.357365, 0.260791
50.0, 49.0, 0.157597, 1.043502, 0.327734
50.0, 49.0, 0.154011, 0.839979, 0.327454
50.0, 49.0, 0.134085, 0.666014, 0.33602
50.0, 49.0, 0.133903, 0.674926, 0.286453
50.0, 49.0, 0.163098, 0.746434, 0.330762
50.0, 49.0, 0.15356, 0.608981, 0.284723
50.0, 49.0, 0.15982, 0.678588, 0.325703
50.0, 49.0, 0.150682, 0.663836, 0.396284
50.0, 49.0, 0.167365, 0.484718, 0.240443
50.0, 49.0, 0.14447, 0.527951, 0.247865
50.0, 49.0, 0.140683, 0.371802, 0.292174
50.0, 49.0, 0.181692, 0.600096, 0.280516
50.0, 49.0, 0.136695, 0.496574, 0.258456
50.0, 49.0, 0.133306, 0.385378, 0.274652
50.0, 49.0, 0.145249, 0.319398, 0.234125
50.0, 49.0, 0.155968, 0.367166, 0.252866
50.0, 49.0, 0.154065, 0.31878, 0.229795
50.0, 49.0, 0.140647, 0.366427, 0.215468
50.0, 49.0, 0.13065, 0.342878, 0.250358
50.0, 49.0, 0.136434, 0.37162, 0.286047
50.0, 49.0, 0.140094, 0.321883, 0.189866
50.0, 49.0, 0.125892, 0.318979, 0.175643
50.0, 49.0, 0.223711, 0.279797, 0.182215
50.0, 49.0, 0.179939, 0.296716, 0.172413
50.0, 49.0, 0.145968, 0.272723, 0.171197
50.0, 49.0, 0.150245, 0.255092, 0.169145
50.0, 49.0, 0.120961, 0.235695, 0.153338
50.0, 49.0, 0.135513, 0.26242, 0.191805
50.0, 49.0, 0.120735, 0.312628, 0.205936
50.0, 49.0, 0.163283, 0.336493, 0.609903
50.0, 49.0, 0.157206, 0.257585, 0.181478
50.0, 49.0, 0.143742, 4.949051, 2.340957
50.0, 49.0, 0.177801, 7.191215, 0.241508
50.0, 49.0, 4.258189, 7.77669, 0.207467
50.0, 49.0, 0.047644, 2.929647, 0.206829
250.0, 249.0, 3.192206, 1.46906, 0.870953
250.0, 249.0, 0.636029, 4.109502, 0.842062
250.0, 249.0, 0.695376, 3.239811, 0.873028
250.0, 249.0, 6.569027, 1.345414, 2.757772
250.0, 249.0, 0.698443, 1.064095, 0.836391
250.0, 249.0, 5.83365, 1.461538, 0.766574
250.0, 249.0, 0.540402, 6.220737, 0.849303
250.0, 249.0, 0.607762, 1.081061, 1.096412
250.0, 249.0, 0.657796, 1.192785, 3.512113
