V,E,T(n) binary
100.0, 4950.0, 6.25078
100.0, 4950.0, 4.863164
100.0, 4950.0, 14.476223
100.0, 4950.0, 9.614771
100.0, 4950.0, 0.846986
100.0, 4950.0, 10.01283
100.0, 4950.0, 3.408918
100.0, 4950.0, 2.435487
100.0, 4950.0, 3.37596
100.0, 4950.0, 8.53428
100.0, 4950.0, 10.373579
100.0, 4950.0, 2.202721
100.0, 4950.0, 4.660841
100.0, 4950.0, 1.206952
100.0, 4950.0, 1.883818
100.0, 4950.0, 1.585105
100.0, 4950.0, 0.782211
100.0, 4950.0, 1.053428
100.0, 4950.0, 2.04992
100.0, 4950.0, 1.392942
100.0, 4950.0, 2.046423
100.0, 4950.0, 1.257256
100.0, 4950.0, 2.004647
100.0, 4950.0, 1.405789
100.0, 4950.0, 1.372241
100.0, 4950.0, 1.165539
100.0, 4950.0, 0.578058
100.0, 4950.0, 1.690947
100.0, 4950.0, 2.032
100.0, 4950.0, 2.503316
100.0, 4950.0, 0.867852
100.0, 4950.0, 1.093705
100.0, 4950.0, 0.778509
100.0, 4950.0, 0.942905
100.0, 4950.0, 0.145875
100.0, 4950.0, 0.673222
100.0, 4950.0, 0.540496
100.0, 4950.0, 1.704276
100.0, 4950.0, 0.654563
100.0, 4950.0, 0.815067
200.0, 19900.0, 2.205753
200.0, 19900.0, 3.766929
200.0, 19900.0, 0.651499
200.0, 19900.0, 2.191681
200.0, 19900.0, 2.682428
200.0, 19900.0, 2.368275
200.0, 19900.0, 5.450712
200.0, 19900.0, 5.59278
200.0, 19900.0, 5.805264
200.0, 19900.0, 2.897656
200.0, 19900.0, 3.034258
200.0, 19900.0, 3.718017
200.0, 19900.0, 1.239395
200.0, 19900.0, 5.250182
200.0, 19900.0, 2.38327
200.0, 19900.0, 5.427192
200.0, 19900.0, 5.307974
200.0, 19900.0, 3.284533
200.0, 19900.0, 3.346124
200.0, 19900.0, 3.631974
200.0, 19900.0, 2.013361
200.0, 19900.0, 2.999002
200.0, 19900.0, 0.264486
200.0, 19900.0, 0.719655
200.0, 19900.0, 1.322053
200.0, 19900.0, 0.439744
200.0, 19900.0, 0.28527
200.0, 19900.0, 3.722057
200.0, 19900.0, 4.027895
200.0, 19900.0, 1.683326
200.0, 19900.0, 2.88264
200.0, 19900.0, 0.640728
200.0, 19900.0, 3.53231
200.0, 19900.0, 4.619488
200.0, 19900.0, 3.146252
200.0, 19900.0, 0.316835
200.0, 19900.0, 5.030285
200.0, 19900.0, 0.253759
200.0, 19900.0, 3.718625
200.0, 19900.0, 0.683951
300.0, 44850.0, 0.504385
300.0, 44850.0, 2.724452
300.0, 44850.0, 5.172239
300.0, 44850.0, 3.220771
300.0, 44850.0, 3.830711
300.0, 44850.0, 5.191789
300.0, 44850.0, 2.475784
300.0, 44850.0, 2.090439
300.0, 44850.0, 3.016191
300.0, 44850.0, 3.426538
300.0, 44850.0, 3.240409
300.0, 44850.0, 6.018968
300.0, 44850.0, 3.967123
300.0, 44850.0, 3.802386
300.0, 44850.0, 3.591872
300.0, 44850.0, 6.502653
300.0, 44850.0, 0.264837
300.0, 44850.0, 5.219404
300.0, 44850.0, 3.626111
300.0, 44850.0, 0.44817
300.0, 44850.0, 4.944617
300.0, 44850.0, 8.108132
300.0, 44850.0, 8.862785
300.0, 44850.0, 7.763024
300.0, 44850.0, 0.809058
300.0, 44850.0, 8.780919
300.0, 44850.0, 3.354349
300.0, 44850.0, 5.831461
300.0, 44850.0, 0.779124
300.0, 44850.0, 0.35667
300.0, 44850.0, 0.498133
300.0, 44850.0, 4.328776
300.0, 44850.0, 0.529112
300.0, 44850.0, 5.728618
300.0, 44850.0, 1.16909
300.0, 44850.0, 4.609738
300.0, 44850.0, 0.699885
300.0, 44850.0, 2.256212
300.0, 44850.0, 5.076398
300.0, 44850.0, 2.68909
400.0, 79800.0, 13.212915
