V,E,T(n) std
100.0, 4950.0, 2.54323
100.0, 4950.0, 2.550026
100.0, 4950.0, 1.706665
100.0, 4950.0, 0.910174
100.0, 4950.0, 1.417685
100.0, 4950.0, 0.959464
100.0, 4950.0, 0.510063
100.0, 4950.0, 0.64463
100.0, 4950.0, 1.420604
100.0, 4950.0, 1.012627
100.0, 4950.0, 1.57091
100.0, 4950.0, 1.198066
100.0, 4950.0, 1.024904
100.0, 4950.0, 0.505695
100.0, 4950.0, 0.56067
100.0, 4950.0, 0.472042
100.0, 4950.0, 0.246282
100.0, 4950.0, 0.459086
100.0, 4950.0, 1.409269
100.0, 4950.0, 1.51913
100.0, 4950.0, 1.757621
100.0, 4950.0, 0.848242
100.0, 4950.0, 0.964956
100.0, 4950.0, 1.607871
100.0, 4950.0, 1.092859
100.0, 4950.0, 1.398423
100.0, 4950.0, 0.980007
100.0, 4950.0, 0.485643
100.0, 4950.0, 0.58822
100.0, 4950.0, 1.503309
100.0, 4950.0, 0.516964
100.0, 4950.0, 1.014663
100.0, 4950.0, 0.756603
100.0, 4950.0, 0.977726
100.0, 4950.0, 0.455354
100.0, 4950.0, 1.075678
100.0, 4950.0, 1.13209
100.0, 4950.0, 1.092286
100.0, 4950.0, 0.711399
100.0, 4950.0, 0.872673
200.0, 19900.0, 3.447197
200.0, 19900.0, 3.734833
200.0, 19900.0, 4.117774
200.0, 19900.0, 3.767261
200.0, 19900.0, 0.453111
200.0, 19900.0, 3.238878
200.0, 19900.0, 2.636577
200.0, 19900.0, 2.999374
200.0, 19900.0, 1.060896
200.0, 19900.0, 0.924555
200.0, 19900.0, 0.120042
200.0, 19900.0, 2.1093
200.0, 19900.0, 1.980597
200.0, 19900.0, 2.275045
200.0, 19900.0, 2.4836
200.0, 19900.0, 0.283556
200.0, 19900.0, 0.866213
200.0, 19900.0, 3.150852
200.0, 19900.0, 3.946435
200.0, 19900.0, 3.083723
200.0, 19900.0, 2.611076
200.0, 19900.0, 3.488553
200.0, 19900.0, 1.987637
200.0, 19900.0, 278.155978
200.0, 19900.0, 3.070204
200.0, 19900.0, 2.331523
200.0, 19900.0, 2.100257
200.0, 19900.0, 0.6066
200.0, 19900.0, 0.284245
200.0, 19900.0, 1.963211
200.0, 19900.0, 1.107293
200.0, 19900.0, 1.386263
200.0, 19900.0, 1.68666
200.0, 19900.0, 0.203393
200.0, 19900.0, 1.235006
200.0, 19900.0, 2.335764
200.0, 19900.0, 0.12721
200.0, 19900.0, 2.637233
200.0, 19900.0, 1.495644
200.0, 19900.0, 1.278874
300.0, 44850.0, 0.792469
300.0, 44850.0, 5.115139
300.0, 44850.0, 1.328736
300.0, 44850.0, 8.086877
300.0, 44850.0, 4.257566
300.0, 44850.0, 5.872145
300.0, 44850.0, 14.930005
300.0, 44850.0, 0.847932
300.0, 44850.0, 6.749213
300.0, 44850.0, 6.412516
300.0, 44850.0, 0.825001
300.0, 44850.0, 3.599136
300.0, 44850.0, 8.488352
300.0, 44850.0, 7.350844
300.0, 44850.0, 2.346065
300.0, 44850.0, 5.160193
300.0, 44850.0, 1.703256
300.0, 44850.0, 0.710748
300.0, 44850.0, 2.646595
300.0, 44850.0, 2.076136
300.0, 44850.0, 2.716311
300.0, 44850.0, 3.571177
300.0, 44850.0, 8.639565
300.0, 44850.0, 8.453273
300.0, 44850.0, 7.394169
300.0, 44850.0, 8.980134
300.0, 44850.0, 7.74228
300.0, 44850.0, 8.691191
300.0, 44850.0, 1.872492
300.0, 44850.0, 2.551437
300.0, 44850.0, 8.680099
300.0, 44850.0, 2.758383
300.0, 44850.0, 1.198896
300.0, 44850.0, 3.663345
300.0, 44850.0, 4.368786
300.0, 44850.0, 8.671555
300.0, 44850.0, 4.914124
300.0, 44850.0, 8.403157
300.0, 44850.0, 5.119139
300.0, 44850.0, 9.045192
400.0, 79800.0, 4.730943
400.0, 79800.0, 4.853263
400.0, 79800.0, 7.847054
400.0, 79800.0, 7.672652
400.0, 79800.0, 8.925658
400.0, 79800.0, 6.656687
400.0, 79800.0, 9.385631
400.0, 79800.0, 8.985414
400.0, 79800.0, 14.608649
400.0, 79800.0, 10.707504
400.0, 79800.0, 1.756973
400.0, 79800.0, 8.89514
400.0, 79800.0, 9.307184
400.0, 79800.0, 8.013855
400.0, 79800.0, 2.748519
400.0, 79800.0, 8.76888
400.0, 79800.0, 8.566043
400.0, 79800.0, 10.820087
400.0, 79800.0, 0.88519
400.0, 79800.0, 4.371856
400.0, 79800.0, 10.389697
400.0, 79800.0, 9.815265
400.0, 79800.0, 4.189663
400.0, 79800.0, 1.005845
400.0, 79800.0, 8.254772
400.0, 79800.0, 10.667177
400.0, 79800.0, 3.191507
400.0, 79800.0, 2.283547
400.0, 79800.0, 1.175696
400.0, 79800.0, 10.420355
400.0, 79800.0, 8.900961
400.0, 79800.0, 6.1369
400.0, 79800.0, 5.723655
400.0, 79800.0, 2.548053
400.0, 79800.0, 5.612449
400.0, 79800.0, 1.953726
400.0, 79800.0, 2.300287
400.0, 79800.0, 4.036387
400.0, 79800.0, 4.993287
400.0, 79800.0, 3.549485
500.0, 124750.0, 2.644807
500.0, 124750.0, 10.217804
500.0, 124750.0, 13.976667
500.0, 124750.0, 14.82584
500.0, 124750.0, 14.556409
500.0, 124750.0, 10.563441
500.0, 124750.0, 16.299493
500.0, 124750.0, 10.856244
500.0, 124750.0, 18.489245
500.0, 124750.0, 14.257938
500.0, 124750.0, 8.134378
500.0, 124750.0, 7.538788
500.0, 124750.0, 9.235142
500.0, 124750.0, 15.829237
500.0, 124750.0, 10.11951
500.0, 124750.0, 18.045879
500.0, 124750.0, 3.260706
500.0, 124750.0, 17.176961
500.0, 124750.0, 13.893674
500.0, 124750.0, 11.333933
500.0, 124750.0, 11.488631
500.0, 124750.0, 9.606489
500.0, 124750.0, 16.040416
500.0, 124750.0, 7.862558
500.0, 124750.0, 10.602991
500.0, 124750.0, 16.278975
500.0, 124750.0, 13.956278
500.0, 124750.0, 16.832051
500.0, 124750.0, 15.542508
500.0, 124750.0, 13.219992
500.0, 124750.0, 13.066316
500.0, 124750.0, 3.705309
500.0, 124750.0, 18.821055
500.0, 124750.0, 18.043941
500.0, 124750.0, 14.914451
500.0, 124750.0, 14.684095
500.0, 124750.0, 5.795807
500.0, 124750.0, 1.925636
500.0, 124750.0, 10.969742
500.0, 124750.0, 19.536907
600.0, 179700.0, 10.305254
600.0, 179700.0, 28.034141
600.0, 179700.0, 29.610894
600.0, 179700.0, 30.760192
600.0, 179700.0, 13.61877
600.0, 179700.0, 31.607482
600.0, 179700.0, 13.697333
600.0, 179700.0, 32.363993
600.0, 179700.0, 34.388751
600.0, 179700.0, 20.303321
600.0, 179700.0, 11.731088
600.0, 179700.0, 15.674221
600.0, 179700.0, 22.319878
600.0, 179700.0, 13.247386
600.0, 179700.0, 8.046651
600.0, 179700.0, 18.739471
600.0, 179700.0, 7.821895
600.0, 179700.0, 14.941658
600.0, 179700.0, 19.563589
600.0, 179700.0, 18.231909
600.0, 179700.0, 23.337003
600.0, 179700.0, 9.801085
600.0, 179700.0, 9.944607
600.0, 179700.0, 22.462657
600.0, 179700.0, 6.641995
600.0, 179700.0, 8.982295
600.0, 179700.0, 16.710828
600.0, 179700.0, 12.631104
600.0, 179700.0, 9.155914
600.0, 179700.0, 18.472589
600.0, 179700.0, 13.413198
600.0, 179700.0, 14.305212
600.0, 179700.0, 18.774853
600.0, 179700.0, 9.362482
600.0, 179700.0, 9.962255
600.0, 179700.0, 9.118139
600.0, 179700.0, 10.08841
600.0, 179700.0, 19.303668
600.0, 179700.0, 8.008889
600.0, 179700.0, 20.599183
700.0, 244650.0, 21.323556
700.0, 244650.0, 10.70347
700.0, 244650.0, 26.71057
700.0, 244650.0, 33.398836
700.0, 244650.0, 25.106582
700.0, 244650.0, 27.579608
700.0, 244650.0, 7.806889
700.0, 244650.0, 11.483895
700.0, 244650.0, 31.003403
700.0, 244650.0, 22.531388
700.0, 244650.0, 26.297882
700.0, 244650.0, 4.707673
700.0, 244650.0, 8.994253
700.0, 244650.0, 9.956523
700.0, 244650.0, 19.278435
700.0, 244650.0, 12.206406
700.0, 244650.0, 14.606727
700.0, 244650.0, 6.392703
700.0, 244650.0, 16.800792
700.0, 244650.0, 22.305339
700.0, 244650.0, 8.736857
700.0, 244650.0, 21.961541
700.0, 244650.0, 6.422304
700.0, 244650.0, 19.086185
700.0, 244650.0, 20.89082
700.0, 244650.0, 11.882201
700.0, 244650.0, 18.827051
700.0, 244650.0, 4.809523
700.0, 244650.0, 6.521992
700.0, 244650.0, 16.506149
700.0, 244650.0, 15.678826
700.0, 244650.0, 6.508723
700.0, 244650.0, 17.660167
700.0, 244650.0, 10.645545
700.0, 244650.0, 4.399092
700.0, 244650.0, 6.642446
700.0, 244650.0, 3.304979
700.0, 244650.0, 20.613577
700.0, 244650.0, 17.295084
700.0, 244650.0, 20.350131
800.0, 319600.0, 46.815452
800.0, 319600.0, 27.353757
800.0, 319600.0, 50.14579
800.0, 319600.0, 41.427307
800.0, 319600.0, 26.259091
800.0, 319600.0, 40.532468
800.0, 319600.0, 7.1759
800.0, 319600.0, 50.939098
800.0, 319600.0, 42.650263
800.0, 319600.0, 46.997371
800.0, 319600.0, 33.920938
800.0, 319600.0, 48.930117
800.0, 319600.0, 437.894571
800.0, 319600.0, 14.746043
800.0, 319600.0, 40.152772
800.0, 319600.0, 36.483407
800.0, 319600.0, 21.817976
800.0, 319600.0, 16.067804
800.0, 319600.0, 8.978449
800.0, 319600.0, 41.822395
800.0, 319600.0, 34.072536
800.0, 319600.0, 7.092208
800.0, 319600.0, 34.024928
800.0, 319600.0, 42.366323
800.0, 319600.0, 43.739453
800.0, 319600.0, 38.520141
800.0, 319600.0, 46.166858
800.0, 319600.0, 9.741673
800.0, 319600.0, 6.13869
800.0, 319600.0, 8.412296
800.0, 319600.0, 11.531194
800.0, 319600.0, 38.333014
800.0, 319600.0, 28.678266
800.0, 319600.0, 25.199672
800.0, 319600.0, 32.848707
800.0, 319600.0, 16.553269
800.0, 319600.0, 25.705288
800.0, 319600.0, 24.452787
800.0, 319600.0, 11.997559
800.0, 319600.0, 24.510988
900.0, 404550.0, 46.00381
900.0, 404550.0, 28.926433
900.0, 404550.0, 16.505344
900.0, 404550.0, 59.689058
900.0, 404550.0, 29.305738
900.0, 404550.0, 46.691582
900.0, 404550.0, 24.728851
900.0, 404550.0, 54.143734
900.0, 404550.0, 44.427121
900.0, 404550.0, 23.627641
900.0, 404550.0, 26.717182
900.0, 404550.0, 56.845457
900.0, 404550.0, 54.282187
900.0, 404550.0, 49.860453
900.0, 404550.0, 52.692727
900.0, 404550.0, 26.048938
900.0, 404550.0, 52.342666
900.0, 404550.0, 62.953867
900.0, 404550.0, 17.285591
900.0, 404550.0, 12.208578
900.0, 404550.0, 51.587817
900.0, 404550.0, 36.378245
900.0, 404550.0, 42.927843
900.0, 404550.0, 48.885382
900.0, 404550.0, 12.528956
900.0, 404550.0, 12.856667
900.0, 404550.0, 46.398053
900.0, 404550.0, 15.068752
900.0, 404550.0, 45.662875
900.0, 404550.0, 35.914985
900.0, 404550.0, 54.867879
900.0, 404550.0, 22.672994
900.0, 404550.0, 48.962686
900.0, 404550.0, 29.284068
900.0, 404550.0, 250.334914
900.0, 404550.0, 42.198791
900.0, 404550.0, 49.037533
900.0, 404550.0, 52.410004
900.0, 404550.0, 49.405563
900.0, 404550.0, 19.029782
1000.0, 499500.0, 60.33616
1000.0, 499500.0, 24.146677
1000.0, 499500.0, 96.072846
1000.0, 499500.0, 33.445322
1000.0, 499500.0, 153.87048
1000.0, 499500.0, 470.887074
1000.0, 499500.0, 28.806692
1000.0, 499500.0, 21.032035
1000.0, 499500.0, 46.73415
1000.0, 499500.0, 47.300173
1000.0, 499500.0, 2.329629
1000.0, 499500.0, 43.526532
1000.0, 499500.0, 8.429559
1000.0, 499500.0, 43.595711
1000.0, 499500.0, 19.967048
1000.0, 499500.0, 30.059651
1000.0, 499500.0, 44.377058
1000.0, 499500.0, 13.510936
1000.0, 499500.0, 26.15098
1000.0, 499500.0, 41.336052
1000.0, 499500.0, 12.462463
1000.0, 499500.0, 28.460529
1000.0, 499500.0, 44.011855
1000.0, 499500.0, 39.191465
1000.0, 499500.0, 8.558319
1000.0, 499500.0, 10.189906
1000.0, 499500.0, 45.916816
1000.0, 499500.0, 41.893113
1000.0, 499500.0, 19.93594
1000.0, 499500.0, 8.697992
1000.0, 499500.0, 16.300482
1000.0, 499500.0, 34.072217
1000.0, 499500.0, 15.514588
1000.0, 499500.0, 10.886951
1000.0, 499500.0, 24.727709
1000.0, 499500.0, 7.678215
1000.0, 499500.0, 14.817957
1000.0, 499500.0, 11.716691
1000.0, 499500.0, 22.329654
1000.0, 499500.0, 31.891385
1100.0, 604450.0, 77.220372
1100.0, 604450.0, 88.296662
1100.0, 604450.0, 68.151702
1100.0, 604450.0, 30.118014
1100.0, 604450.0, 349.989788
1100.0, 604450.0, 42.410929
1100.0, 604450.0, 17.916949
1100.0, 604450.0, 32.678859
1100.0, 604450.0, 24.952832
1100.0, 604450.0, 17.576606
1100.0, 604450.0, 56.411055
1100.0, 604450.0, 54.902272
1100.0, 604450.0, 45.597698
1100.0, 604450.0, 20.968372
1100.0, 604450.0, 19.009526
1100.0, 604450.0, 67.665572
1100.0, 604450.0, 5.563976
1100.0, 604450.0, 40.074216
1100.0, 604450.0, 73.096156
1100.0, 604450.0, 72.556531
1100.0, 604450.0, 21.942815
1100.0, 604450.0, 70.269578
1100.0, 604450.0, 87.583721
1100.0, 604450.0, 38.352247
1100.0, 604450.0, 42.68696
1100.0, 604450.0, 39.8422
1100.0, 604450.0, 58.116776
1100.0, 604450.0, 78.535806
1100.0, 604450.0, 28.046059
1100.0, 604450.0, 35.596451
1100.0, 604450.0, 37.135828
1100.0, 604450.0, 186.213124
1100.0, 604450.0, 15.902035
1100.0, 604450.0, 17.617354
1100.0, 604450.0, 61.659741
1100.0, 604450.0, 77.091578
1100.0, 604450.0, 35.925123
1100.0, 604450.0, 20.703083
1100.0, 604450.0, 40.853686
1100.0, 604450.0, 85.418979
1200.0, 719400.0, 43.581952
1200.0, 719400.0, 106.986682
1200.0, 719400.0, 73.283821
1200.0, 719400.0, 95.292294
1200.0, 719400.0, 49.882695
1200.0, 719400.0, 66.917241
1200.0, 719400.0, 82.134678
1200.0, 719400.0, 33.735114
1200.0, 719400.0, 108.417657
1200.0, 719400.0, 92.561424
1200.0, 719400.0, 74.979634
1200.0, 719400.0, 400.951314
1200.0, 719400.0, 72.792904
1200.0, 719400.0, 48.026915
1200.0, 719400.0, 28.497671
1200.0, 719400.0, 54.888305
1200.0, 719400.0, 83.574558
1200.0, 719400.0, 28.216132
1200.0, 719400.0, 28.441736
1200.0, 719400.0, 86.203909
1200.0, 719400.0, 78.886285
1200.0, 719400.0, 48.421848
1200.0, 719400.0, 56.246743
1200.0, 719400.0, 61.514078
1200.0, 719400.0, 28.238992
1200.0, 719400.0, 97.170831
1200.0, 719400.0, 83.035782
1200.0, 719400.0, 86.349557
1200.0, 719400.0, 61.639367
1200.0, 719400.0, 72.536688
1200.0, 719400.0, 61.341198
1200.0, 719400.0, 290.780716
1200.0, 719400.0, 128.743829
1200.0, 719400.0, 89.396191
1200.0, 719400.0, 69.626537
1200.0, 719400.0, 72.914782
1200.0, 719400.0, 75.237997
1200.0, 719400.0, 38.842622
1200.0, 719400.0, 55.546425
1200.0, 719400.0, 68.554483
1300.0, 844350.0, 76.638139
1300.0, 844350.0, 28.756994
1300.0, 844350.0, 57.413882
1300.0, 844350.0, 84.010392
1300.0, 844350.0, 28.081195
1300.0, 844350.0, 76.322433
1300.0, 844350.0, 47.280992
1300.0, 844350.0, 164.354226
1300.0, 844350.0, 77.978307
1300.0, 844350.0, 45.202875
1300.0, 844350.0, 55.152081
1300.0, 844350.0, 23.77128
1300.0, 844350.0, 87.22369
1300.0, 844350.0, 132.693657
1300.0, 844350.0, 91.136285
1300.0, 844350.0, 74.006897
1300.0, 844350.0, 211.773212
1300.0, 844350.0, 71.116632
1300.0, 844350.0, 22.396291
1300.0, 844350.0, 70.508609
1300.0, 844350.0, 52.174392
1300.0, 844350.0, 87.191751
