V,E,T(n) fibo
125.0, 7750.0, 8.979678
125.0, 7750.0, 9.999076
125.0, 7750.0, 7.463713
125.0, 7750.0, 4.549694
125.0, 7750.0, 8.092029
125.0, 7750.0, 5.088555
125.0, 7750.0, 0.555293
125.0, 7750.0, 2.291112
125.0, 7750.0, 4.952779
125.0, 7750.0, 2.015451
125.0, 7750.0, 1.542125
125.0, 7750.0, 3.181631
125.0, 7750.0, 3.26181
125.0, 7750.0, 0.780719
125.0, 7750.0, 3.064228
125.0, 7750.0, 0.347176
125.0, 7750.0, 3.205051
125.0, 7750.0, 1.640579
125.0, 7750.0, 1.806708
125.0, 7750.0, 3.121182
125.0, 7750.0, 2.837163
125.0, 7750.0, 0.902578
125.0, 7750.0, 3.23616
125.0, 7750.0, 3.042348
125.0, 7750.0, 0.767768
125.0, 7750.0, 2.195112
125.0, 7750.0, 2.122943
125.0, 7750.0, 2.444206
125.0, 7750.0, 3.487418
125.0, 7750.0, 2.83247
125.0, 7750.0, 2.964904
125.0, 7750.0, 2.722158
125.0, 7750.0, 2.930494
125.0, 7750.0, 2.71152
125.0, 7750.0, 1.58608
125.0, 7750.0, 3.211525
125.0, 7750.0, 2.841734
125.0, 7750.0, 3.560784
125.0, 7750.0, 3.470711
125.0, 7750.0, 2.588094
250.0, 31125.0, 2.612385
250.0, 31125.0, 1.988352
250.0, 31125.0, 5.483754
250.0, 31125.0, 2.229121
250.0, 31125.0, 0.588634
250.0, 31125.0, 4.265534
250.0, 31125.0, 15.131337
250.0, 31125.0, 2.690964
250.0, 31125.0, 9.673667
250.0, 31125.0, 0.357518
250.0, 31125.0, 7.364221
250.0, 31125.0, 10.745902
250.0, 31125.0, 13.085511
250.0, 31125.0, 3.812174
250.0, 31125.0, 7.322871
250.0, 31125.0, 10.769519
250.0, 31125.0, 5.169608
250.0, 31125.0, 3.975518
250.0, 31125.0, 0.349126
250.0, 31125.0, 0.870926
250.0, 31125.0, 3.350101
250.0, 31125.0, 2.636887
250.0, 31125.0, 5.468226
250.0, 31125.0, 2.209628
250.0, 31125.0, 3.31828
250.0, 31125.0, 2.319308
250.0, 31125.0, 16.553102
250.0, 31125.0, 7.133765
250.0, 31125.0, 7.74092
250.0, 31125.0, 5.987939
250.0, 31125.0, 2.343278
250.0, 31125.0, 4.621752
250.0, 31125.0, 3.560676
250.0, 31125.0, 4.327638
250.0, 31125.0, 4.584276
250.0, 31125.0, 2.444793
250.0, 31125.0, 3.281939
250.0, 31125.0, 4.265776
250.0, 31125.0, 5.237885
250.0, 31125.0, 3.931132
375.0, 70125.0, 8.429175
375.0, 70125.0, 8.519974
375.0, 70125.0, 7.321964
375.0, 70125.0, 6.850578
375.0, 70125.0, 7.127205
375.0, 70125.0, 8.611112
375.0, 70125.0, 7.117634
375.0, 70125.0, 6.007339
375.0, 70125.0, 2.146245
375.0, 70125.0, 1.127959
375.0, 70125.0, 2.540482
375.0, 70125.0, 2.695896
375.0, 70125.0, 2.875032
375.0, 70125.0, 2.518087
375.0, 70125.0, 6.443837
375.0, 70125.0, 8.900379
375.0, 70125.0, 2.928727
375.0, 70125.0, 5.665755
375.0, 70125.0, 2.361272
375.0, 70125.0, 8.539788
375.0, 70125.0, 5.203201
375.0, 70125.0, 8.07182
375.0, 70125.0, 0.734309
375.0, 70125.0, 228.740778
375.0, 70125.0, 4.298936
375.0, 70125.0, 0.66039
375.0, 70125.0, 1.767034
375.0, 70125.0, 1.801659
375.0, 70125.0, 4.600144
375.0, 70125.0, 4.368886
375.0, 70125.0, 2.2525
375.0, 70125.0, 4.936274
375.0, 70125.0, 4.467073
375.0, 70125.0, 3.27728
375.0, 70125.0, 1.322003
375.0, 70125.0, 4.116434
375.0, 70125.0, 3.8445
375.0, 70125.0, 0.402533
375.0, 70125.0, 4.847407
375.0, 70125.0, 4.364592
500.0, 124750.0, 1.92404
500.0, 124750.0, 9.342802
500.0, 124750.0, 8.912286
500.0, 124750.0, 1.183116
500.0, 124750.0, 9.902379
500.0, 124750.0, 14.503357
500.0, 124750.0, 3.648255
500.0, 124750.0, 4.296908
500.0, 124750.0, 9.393023
500.0, 124750.0, 9.761625
500.0, 124750.0, 4.287015
500.0, 124750.0, 2.303102
500.0, 124750.0, 5.617334
500.0, 124750.0, 14.040321
500.0, 124750.0, 7.19157
500.0, 124750.0, 3.005057
500.0, 124750.0, 9.803374
500.0, 124750.0, 5.756526
500.0, 124750.0, 0.890636
500.0, 124750.0, 7.769749
500.0, 124750.0, 8.080473
500.0, 124750.0, 16.171721
500.0, 124750.0, 10.528847
