V,E,T(n) std,T(n) fibo,T(n) binary
2.0, 1.0, 0.027767, 1.389888, 0.795358
2.0, 1.0, 0.017463, 0.035207, 0.022087
2.0, 1.0, 0.013343, 0.02844, 0.021528
2.0, 1.0, 0.013682, 0.028336, 0.019134
2.0, 1.0, 0.010501, 0.024268, 0.019541
2.0, 1.0, 0.012481, 0.030051, 0.022789
2.0, 1.0, 0.01908, 0.029861, 0.021278
2.0, 1.0, 0.012147, 0.03474, 0.020608
2.0, 1.0, 0.012297, 0.026897, 1.332691
2.0, 1.0, 0.014158, 0.030166, 0.020585
2.0, 1.0, 0.015597, 0.029562, 0.020203
2.0, 1.0, 0.012328, 0.028868, 1.832482
2.0, 1.0, 0.015255, 0.028198, 0.024377
2.0, 1.0, 0.011166, 0.027453, 0.018389
2.0, 1.0, 0.013565, 0.028147, 0.019871
2.0, 1.0, 0.012236, 0.028327, 0.246872
2.0, 1.0, 0.01224, 0.028488, 0.017828
2.0, 1.0, 0.014567, 0.027375, 0.023993
2.0, 1.0, 0.021502, 0.03203, 0.022024
2.0, 1.0, 0.016762, 0.028921, 0.018916
2.0, 1.0, 0.01181, 0.033692, 0.01867
2.0, 1.0, 0.012487, 0.024682, 0.02194
2.0, 1.0, 0.016909, 0.029699, 0.020718
2.0, 1.0, 0.015622, 0.035205, 0.023731
2.0, 1.0, 0.017014, 0.029927, 0.017875
2.0, 1.0, 0.012289, 0.037531, 0.018007
2.0, 1.0, 0.009803, 0.020845, 0.017684
2.0, 1.0, 0.008842, 0.022493, 0.01448
2.0, 1.0, 0.009094, 0.019993, 0.014211
2.0, 1.0, 0.00873, 0.019162, 0.013924
2.0, 1.0, 0.014108, 0.024276, 0.018672
2.0, 1.0, 0.00776, 0.023489, 0.014434
2.0, 1.0, 0.007658, 0.018489, 0.014088
2.0, 1.0, 0.007195, 0.017893, 0.013705
2.0, 1.0, 0.007131, 0.018159, 0.014022
2.0, 1.0, 0.007092, 0.01901, 0.013954
2.0, 1.0, 0.008238, 0.020203, 0.014767
2.0, 1.0, 0.007652, 0.048673, 0.026124
2.0, 1.0, 0.007517, 0.021305, 0.011587
2.0, 1.0, 0.008929, 0.014378, 0.011261
12.0, 11.0, 0.099884, 0.35192, 0.200054
12.0, 11.0, 0.060975, 0.280229, 0.197283
12.0, 11.0, 0.071303, 0.267174, 0.137601
12.0, 11.0, 0.047929, 0.27505, 0.148504
12.0, 11.0, 0.065412, 0.260511, 0.143161
12.0, 11.0, 0.045288, 0.267509, 0.140273
