n, T(n) first,T(n) second
200, 0.6336787570391451, 0.8464094517010666
1000, 23.458736927423335, 33.120174807440364
1800, 105.15645703914102, 161.77838023291
2600, 281.9704541096041, 457.68682309756355
3400, 591.3184080505728, 994.7159084808073
4200, 1071.661132810121, 1849.0917411799007
5000, 1762.292443235934, 3098.8567808329703
5800, 2702.912209602751, 4822.96206245574
6600, 3934.115158519339, 7102.215636999103
7400, 5496.709508038579, 10017.902198982154
8200, 7431.870906477944, 13652.079486958819
9000, 9781.589119401087, 18088.46375971601
9800, 12587.794052219091, 23410.676154508772
10600, 15892.673008296157, 29702.872995684942
11400, 19739.070443583514, 37050.54209292318
12200, 24169.942774798295, -35284.92739321487
13000, 29228.750081299324, -26113.690598585057
