V,E,T(n) std,T(n) fibo,T(n) binary
100.0, 4950.0, 4.094482, 8.13365, 0.595948
100.0, 4950.0, 1.02905, 0.389962, 0.725603
100.0, 4950.0, 1.165958, 0.813324, 1.426643
100.0, 4950.0, 0.783386, 0.84418, 0.90854
100.0, 4950.0, 1.016234, 0.924771, 0.394457
100.0, 4950.0, 0.999279, 1.327008, 0.212082
100.0, 4950.0, 0.310461, 1.181336, 0.477907
100.0, 4950.0, 0.991842, 1.822913, 1.098392
100.0, 4950.0, 1.980533, 2.172166, 0.630387
100.0, 4950.0, 1.406606, 1.081492, 0.557569
100.0, 4950.0, 1.081271, 0.155581, 0.932045
100.0, 4950.0, 1.507444, 1.539127, 0.998744
100.0, 4950.0, 0.775144, 1.46427, 0.673976
100.0, 4950.0, 1.619529, 2.189785, 0.978891
100.0, 4950.0, 0.954141, 1.439235, 0.846218
100.0, 4950.0, 1.143588, 1.96175, 0.994604
100.0, 4950.0, 1.487444, 2.283268, 0.051639
100.0, 4950.0, 1.222192, 1.984039, 0.956826
100.0, 4950.0, 0.67962, 1.965367, 0.368744
100.0, 4950.0, 1.685618, 1.041516, 0.568208
100.0, 4950.0, 1.653218, 1.435141, 0.603239
100.0, 4950.0, 1.683559, 1.849456, 0.866719
100.0, 4950.0, 4.677154, 1.953768, 1.131669
100.0, 4950.0, 1.525418, 2.301622, 0.417978
100.0, 4950.0, 1.477059, 2.163044, 0.575313
100.0, 4950.0, 1.222528, 1.927925, 0.359172
100.0, 4950.0, 1.506559, 1.312822, 0.897136
100.0, 4950.0, 0.915012, 0.791432, 0.830309
100.0, 4950.0, 1.276412, 1.332925, 0.407827
100.0, 4950.0, 0.102273, 1.889203, 1.093191
100.0, 4950.0, 1.180548, 1.959363, 0.942918
100.0, 4950.0, 1.050345, 0.758605, 0.864318
100.0, 4950.0, 0.933417, 1.793293, 0.445831
100.0, 4950.0, 1.109786, 1.958738, 0.888791
100.0, 4950.0, 1.567372, 0.147339, 0.673385
100.0, 4950.0, 1.021409, 1.89186, 1.134047
100.0, 4950.0, 1.566415, 1.430261, 0.503955
100.0, 4950.0, 0.613664, 1.697012, 0.481166
100.0, 4950.0, 1.335236, 1.963771, 0.9927
100.0, 4950.0, 0.859181, 1.47089, 0.348704
200.0, 19900.0, 2.388228, 3.960426, 4.170259
200.0, 19900.0, 0.795383, 3.758095, 2.889091
200.0, 19900.0, 2.495841, 3.620556, 0.17821
200.0, 19900.0, 3.541309, 5.9095, 2.743584
200.0, 19900.0, 3.813583, 2.802001, 1.68801
200.0, 19900.0, 0.189824, 4.644778, 1.483647
200.0, 19900.0, 3.33867, 4.966249, 3.106263
200.0, 19900.0, 4.061106, 5.932592, 4.393531
200.0, 19900.0, 5.471465, 3.46284, 2.595887
200.0, 19900.0, 0.21519, 6.170333, 3.192236
200.0, 19900.0, 5.545116, 5.757251, 2.041032
200.0, 19900.0, 4.205076, 4.196582, 0.584093
200.0, 19900.0, 0.754804, 5.192941, 4.257183
200.0, 19900.0, 5.085281, 3.853226, 0.09647
200.0, 19900.0, 0.14746, 3.326702, 0.570687
200.0, 19900.0, 5.150008, 0.493241, 2.250665
200.0, 19900.0, 3.224284, 4.945994, 2.322133
200.0, 19900.0, 4.247676, 1.103944, 4.435305
200.0, 19900.0, 4.232975, 3.718517, 1.145989
200.0, 19900.0, 0.532196, 5.091661, 3.438888
200.0, 19900.0, 2.295669, 0.435135, 3.966182
200.0, 19900.0, 3.000623, 3.252369, 3.604372
200.0, 19900.0, 1.994885, 0.758908, 0.134867
200.0, 19900.0, 1.366493, 0.262167, 3.520282
200.0, 19900.0, 2.386704, 4.204836, 2.543167
200.0, 19900.0, 3.640506, 3.014647, 0.528178
200.0, 19900.0, 2.187773, 4.573098, 1.168191
200.0, 19900.0, 0.317289, 1.752403, 0.774534
200.0, 19900.0, 1.8597, 0.093096, 1.040953
200.0, 19900.0, 2.462971, 2.569971, 1.232938
200.0, 19900.0, 1.264811, 2.311029, 1.457115
200.0, 19900.0, 1.644878, 2.051182, 1.608293
200.0, 19900.0, 0.242676, 0.44553, 1.198784
200.0, 19900.0, 1.550804, 0.344801, 0.034713
200.0, 19900.0, 0.978408, 0.091754, 0.904013
200.0, 19900.0, 1.505977, 1.729468, 1.339238
200.0, 19900.0, 1.296271, 1.137178, 1.429667
200.0, 19900.0, 1.708402, 2.50882, 2.299609
200.0, 19900.0, 1.216215, 1.605143, 0.168464
200.0, 19900.0, 0.67218, 1.312752, 0.384592
300.0, 44850.0, 4.73433, 5.08995, 0.420099
300.0, 44850.0, 4.902873, 0.217747, 4.861534
300.0, 44850.0, 5.443713, 4.602441, 1.563913
300.0, 44850.0, 2.323352, 2.419631, 2.498446
300.0, 44850.0, 4.80811, 3.364167, 1.50809
300.0, 44850.0, 3.837785, 5.385016, 2.164991
300.0, 44850.0, 4.332747, 3.456224, 4.749842
300.0, 44850.0, 1.72987, 3.201169, 5.435096
300.0, 44850.0, 2.485514, 3.579594, 6.307458
300.0, 44850.0, 2.26202, 5.134111, 2.384208
300.0, 44850.0, 5.811289, 2.47874, 3.662947
300.0, 44850.0, 5.875231, 2.482537, 3.632175
300.0, 44850.0, 5.322382, 5.970336, 2.86037
300.0, 44850.0, 5.946966, 4.794138, 5.147005
300.0, 44850.0, 2.736358, 5.678907, 1.54467
300.0, 44850.0, 5.364793, 3.114144, 0.954734
300.0, 44850.0, 2.619643, 1.2368, 5.022436
