V,E,T(n) std,T(n) fibo,T(n) binary
50.0, 49.0, 0.224335, 4.640714, 32.257253
50.0, 49.0, 0.180455, 11.7337, 0.569581
50.0, 49.0, 0.096942, 0.587937, 0.571353
50.0, 49.0, 0.185382, 1.027697, 0.41626
50.0, 49.0, 0.179379, 0.671713, 0.328615
50.0, 49.0, 0.168348, 0.723146, 0.304248
50.0, 49.0, 0.147877, 0.890901, 0.331583
50.0, 49.0, 0.141829, 0.742892, 0.304406
50.0, 49.0, 0.125884, 0.758279, 0.277972
50.0, 49.0, 0.169733, 0.790918, 0.291735
50.0, 49.0, 0.140444, 0.765657, 0.354282
50.0, 49.0, 0.167939, 1.310926, 0.341602
50.0, 49.0, 0.150176, 0.980354, 0.34429
50.0, 49.0, 0.153336, 0.877731, 0.308269
50.0, 49.0, 0.146275, 0.899747, 0.299493
50.0, 49.0, 0.172667, 5.518696, 0.342565
50.0, 49.0, 0.154119, 0.530372, 0.290126
50.0, 49.0, 0.160369, 0.589638, 0.297346
50.0, 49.0, 0.176407, 0.573093, 5.686533
50.0, 49.0, 0.175602, 0.484369, 0.200502
50.0, 49.0, 0.149606, 0.820019, 0.205209
50.0, 49.0, 0.150255, 0.416906, 0.197971
50.0, 49.0, 0.158854, 0.366673, 0.204829
50.0, 49.0, 0.154844, 0.40728, 0.215939
50.0, 49.0, 0.146173, 0.36288, 0.193059
50.0, 49.0, 0.164138, 0.389801, 0.208632
50.0, 49.0, 0.165143, 0.383317, 0.193249
50.0, 49.0, 0.132513, 0.3449, 0.18653
50.0, 49.0, 0.165886, 0.354415, 0.201314
50.0, 49.0, 0.166316, 0.346959, 0.216454
50.0, 49.0, 0.14179, 0.354222, 0.213473
50.0, 49.0, 0.170928, 0.350589, 0.188254
50.0, 49.0, 0.138898, 0.359411, 0.185941
50.0, 49.0, 0.193588, 0.335379, 0.184346
50.0, 49.0, 0.165573, 0.354081, 0.185136
50.0, 49.0, 0.166497, 0.390076, 0.213289
50.0, 49.0, 0.165549, 0.934985, 0.241649
50.0, 49.0, 0.184067, 0.344043, 0.269093
50.0, 49.0, 0.160986, 0.384353, 0.200301
50.0, 49.0, 0.049284, 0.398905, 0.203205
250.0, 249.0, 0.718702, 3.556039, 0.906852
250.0, 249.0, 0.671091, 1.91552, 0.888078
250.0, 249.0, 0.677866, 1.604376, 0.923189
250.0, 249.0, 0.753255, 1.757048, 0.878531
250.0, 249.0, 0.705704, 1.937436, 0.942329
250.0, 249.0, 0.783399, 1.815453, 0.882987
250.0, 249.0, 0.727916, 1.709659, 0.962557
250.0, 249.0, 0.78683, 2.010146, 0.936794
250.0, 249.0, 0.884274, 1.864388, 0.905508
250.0, 249.0, 0.680824, 1.93997, 0.90173
250.0, 249.0, 0.777565, 1.666438, 0.97021
250.0, 249.0, 0.819203, 1.674279, 0.943443
250.0, 249.0, 1.312731, 2.116082, 0.90361
250.0, 249.0, 0.744448, 1.913133, 1.031506
250.0, 249.0, 0.687901, 1.864531, 0.839795
250.0, 249.0, 0.786673, 1.613458, 0.940409
250.0, 249.0, 0.620631, 2.048114, 1.170071
250.0, 249.0, 0.738501, 10.18813, 0.930471
250.0, 249.0, 0.748168, 1.904782, 0.889508
250.0, 249.0, 0.653853, 2.060608, 0.95162
250.0, 249.0, 0.656487, 2.023561, 0.877242
250.0, 249.0, 0.61638, 1.730021, 0.898471
250.0, 249.0, 0.808919, 1.594124, 0.910406
250.0, 249.0, 0.775761, 6.422909, 0.894995
250.0, 249.0, 0.669505, 1.325322, 0.854069
250.0, 249.0, 0.757844, 2.120139, 0.894696
250.0, 249.0, 0.614195, 5.113896, 0.845121
250.0, 249.0, 0.753374, 1.547866, 0.920191
250.0, 249.0, 0.772415, 18.173863, 0.861531
250.0, 249.0, 0.744564, 1.411895, 0.888319
250.0, 249.0, 6.036792, 1.43098, 0.858424
250.0, 249.0, 0.512648, 1.3908, 0.876485
250.0, 249.0, 0.26684, 1.406768, 0.883919
