V,E,T(n) binary
50.0, 1225.0, 8.049017
50.0, 1225.0, 1.315749
50.0, 1225.0, 0.430423
50.0, 1225.0, 0.350744
50.0, 1225.0, 1.47242
50.0, 1225.0, 1.226563
50.0, 1225.0, 0.17389
50.0, 1225.0, 0.780472
50.0, 1225.0, 0.793941
50.0, 1225.0, 0.306046
50.0, 1225.0, 0.115978
50.0, 1225.0, 0.16388
50.0, 1225.0, 1.062402
50.0, 1225.0, 1.201719
50.0, 1225.0, 1.233094
50.0, 1225.0, 1.646909
50.0, 1225.0, 1.602366
50.0, 1225.0, 1.170445
50.0, 1225.0, 1.368437
50.0, 1225.0, 1.413045
50.0, 1225.0, 1.240784
50.0, 1225.0, 0.815759
50.0, 1225.0, 0.251303
50.0, 1225.0, 0.809772
50.0, 1225.0, 0.876666
50.0, 1225.0, 0.592987
50.0, 1225.0, 0.228294
50.0, 1225.0, 0.998079
50.0, 1225.0, 1.196261
50.0, 1225.0, 1.252034
50.0, 1225.0, 0.786153
50.0, 1225.0, 0.833064
50.0, 1225.0, 0.215585
50.0, 1225.0, 0.163182
50.0, 1225.0, 0.635965
50.0, 1225.0, 0.939697
50.0, 1225.0, 0.251297
50.0, 1225.0, 0.779338
50.0, 1225.0, 0.925927
50.0, 1225.0, 0.354536
250.0, 31125.0, 8.847442
250.0, 31125.0, 6.91074
250.0, 31125.0, 11.726205
250.0, 31125.0, 12.96111
250.0, 31125.0, 1.828428
250.0, 31125.0, 2.252145
250.0, 31125.0, 6.81014
250.0, 31125.0, 0.459634
250.0, 31125.0, 6.448458
250.0, 31125.0, 10.370391
250.0, 31125.0, 1.59977
250.0, 31125.0, 4.600017
250.0, 31125.0, 4.665563
250.0, 31125.0, 6.937271
250.0, 31125.0, 12.716952
250.0, 31125.0, 2.054916
250.0, 31125.0, 4.278353
250.0, 31125.0, 6.952204
250.0, 31125.0, 4.019229
250.0, 31125.0, 3.635456
250.0, 31125.0, 2.094483
250.0, 31125.0, 4.328436
250.0, 31125.0, 2.760504
250.0, 31125.0, 3.309713
250.0, 31125.0, 0.637384
250.0, 31125.0, 2.661337
250.0, 31125.0, 4.257906
250.0, 31125.0, 1.911107
250.0, 31125.0, 4.879253
250.0, 31125.0, 2.140329
250.0, 31125.0, 7.01238
250.0, 31125.0, 3.606715
250.0, 31125.0, 1.182933
250.0, 31125.0, 3.319873
250.0, 31125.0, 3.88956
250.0, 31125.0, 4.645511
250.0, 31125.0, 2.980352
250.0, 31125.0, 4.944991
250.0, 31125.0, 3.846966
250.0, 31125.0, 1.89081
450.0, 101025.0, 10.063841
450.0, 101025.0, 2.48434
450.0, 101025.0, 0.766275
450.0, 101025.0, 10.989204
450.0, 101025.0, 0.750608
450.0, 101025.0, 10.014133
450.0, 101025.0, 9.074593
450.0, 101025.0, 4.666156
450.0, 101025.0, 6.29085
450.0, 101025.0, 2.335437
450.0, 101025.0, 5.891344
450.0, 101025.0, 12.64708
450.0, 101025.0, 6.159628
450.0, 101025.0, 10.464765
450.0, 101025.0, 4.599457
450.0, 101025.0, 3.179147
450.0, 101025.0, 3.621555
450.0, 101025.0, 6.921578
450.0, 101025.0, 0.671078
450.0, 101025.0, 12.248191
450.0, 101025.0, 12.683683
450.0, 101025.0, 0.508066
450.0, 101025.0, 10.106281
450.0, 101025.0, 8.871319
450.0, 101025.0, 4.340433
450.0, 101025.0, 9.74194
450.0, 101025.0, 4.905859
450.0, 101025.0, 7.027252
450.0, 101025.0, 8.499065
450.0, 101025.0, 9.954051
450.0, 101025.0, 19.535228
450.0, 101025.0, 12.645207
450.0, 101025.0, 16.133281
450.0, 101025.0, 16.82587
450.0, 101025.0, 1.037906
450.0, 101025.0, 6.442585
450.0, 101025.0, 1.750438
450.0, 101025.0, 13.548923
450.0, 101025.0, 12.439925
450.0, 101025.0, 9.035584
650.0, 210925.0, 11.56432
650.0, 210925.0, 24.037504
650.0, 210925.0, 18.536236
650.0, 210925.0, 7.238779
650.0, 210925.0, 15.619614
650.0, 210925.0, 8.966964
650.0, 210925.0, 16.454259
650.0, 210925.0, 16.37824
650.0, 210925.0, 6.363256
650.0, 210925.0, 14.291096
650.0, 210925.0, 9.524153
650.0, 210925.0, 4.412913
650.0, 210925.0, 4.156903
650.0, 210925.0, 2.038572
650.0, 210925.0, 8.01966
650.0, 210925.0, 7.858286
650.0, 210925.0, 3.263791
650.0, 210925.0, 9.563173
650.0, 210925.0, 2.256664
650.0, 210925.0, 19.528555
650.0, 210925.0, 9.760228
650.0, 210925.0, 1.608883
650.0, 210925.0, 14.608595
650.0, 210925.0, 6.759784
650.0, 210925.0, 18.491385
650.0, 210925.0, 17.711466
650.0, 210925.0, 14.2793
650.0, 210925.0, 5.110162
650.0, 210925.0, 11.934195
650.0, 210925.0, 15.511257
650.0, 210925.0, 5.584656
650.0, 210925.0, 14.473398
650.0, 210925.0, 18.69331
650.0, 210925.0, 16.638722
650.0, 210925.0, 2.292588
650.0, 210925.0, 15.461018
650.0, 210925.0, 8.542038
650.0, 210925.0, 15.464046
650.0, 210925.0, 13.244758
650.0, 210925.0, 11.175294
850.0, 360825.0, 22.372729
850.0, 360825.0, 10.432133
850.0, 360825.0, 4.654214
850.0, 360825.0, 33.674562
850.0, 360825.0, 32.927132
850.0, 360825.0, 17.748608
850.0, 360825.0, 49.14006
850.0, 360825.0, 13.471297
850.0, 360825.0, 13.273736
850.0, 360825.0, 32.971377
850.0, 360825.0, 30.316825
850.0, 360825.0, 326.629927
850.0, 360825.0, 8.270435
850.0, 360825.0, 11.513832
850.0, 360825.0, 28.920997
850.0, 360825.0, 5.660621
850.0, 360825.0, 22.76195
850.0, 360825.0, 10.854042
850.0, 360825.0, 8.143381
850.0, 360825.0, 28.231724
850.0, 360825.0, 12.417701
850.0, 360825.0, 16.80402
850.0, 360825.0, 15.369705
850.0, 360825.0, 15.001206
850.0, 360825.0, 10.248037
850.0, 360825.0, 25.96834
850.0, 360825.0, 13.128882
850.0, 360825.0, 19.504415
850.0, 360825.0, 15.633108
850.0, 360825.0, 21.24886
850.0, 360825.0, 8.362889
850.0, 360825.0, 23.076132
850.0, 360825.0, 11.268351
850.0, 360825.0, 24.692152
850.0, 360825.0, 24.90472
850.0, 360825.0, 25.615402
850.0, 360825.0, 6.699711
850.0, 360825.0, 12.54987
850.0, 360825.0, 24.637828
850.0, 360825.0, 15.681017
1050.0, 550725.0, 20.316828
1050.0, 550725.0, 42.052398
1050.0, 550725.0, 41.620576
1050.0, 550725.0, 29.990396
1050.0, 550725.0, 40.444521
1050.0, 550725.0, 20.778142
1050.0, 550725.0, 13.460053
1050.0, 550725.0, 7.43149
1050.0, 550725.0, 21.814196
1050.0, 550725.0, 44.017492
1050.0, 550725.0, 20.369546
1050.0, 550725.0, 21.526995
1050.0, 550725.0, 38.705119
1050.0, 550725.0, 30.918253
1050.0, 550725.0, 46.746486
1050.0, 550725.0, 29.115125
1050.0, 550725.0, 0.887464
1050.0, 550725.0, 22.785549
1050.0, 550725.0, 104.10091
1050.0, 550725.0, 41.530266
1050.0, 550725.0, 34.793359
1050.0, 550725.0, 22.654833
1050.0, 550725.0, 31.553308
1050.0, 550725.0, 46.322404
1050.0, 550725.0, 26.15215
1050.0, 550725.0, 39.354243
1050.0, 550725.0, 30.690035
1050.0, 550725.0, 40.540192
1050.0, 550725.0, 8.945462
1050.0, 550725.0, 7.333459
1050.0, 550725.0, 8.498237
1050.0, 550725.0, 34.135341
1050.0, 550725.0, 35.577466
1050.0, 550725.0, 46.401868
1050.0, 550725.0, 48.929647
1050.0, 550725.0, 27.15321
1050.0, 550725.0, 8.470501
1050.0, 550725.0, 45.089963
1050.0, 550725.0, 46.515502
1050.0, 550725.0, 39.659713
1250.0, 780625.0, 27.834331
1250.0, 780625.0, 71.067738
1250.0, 780625.0, 35.04124
1250.0, 780625.0, 76.57779
1250.0, 780625.0, 0.721922
1250.0, 780625.0, 29.631764
1250.0, 780625.0, 65.544367
1250.0, 780625.0, 67.186724
1250.0, 780625.0, 298.342175
1250.0, 780625.0, 58.078145
1250.0, 780625.0, 24.727381
1250.0, 780625.0, 11.565925
1250.0, 780625.0, 64.904699
1250.0, 780625.0, 21.348804
1250.0, 780625.0, 26.213963
1250.0, 780625.0, 2.115372
1250.0, 780625.0, 74.989264
1250.0, 780625.0, 38.987997
1250.0, 780625.0, 13.744933
1250.0, 780625.0, 71.23255
1250.0, 780625.0, 76.727977
1250.0, 780625.0, 27.157658
1250.0, 780625.0, 10.156968
1250.0, 780625.0, 0.888803
1250.0, 780625.0, 67.795275
1250.0, 780625.0, 21.499712
1250.0, 780625.0, 52.716759
1250.0, 780625.0, 64.516034
1250.0, 780625.0, 2.384797
1250.0, 780625.0, 42.776265
1250.0, 780625.0, 1131.982467
1250.0, 780625.0, 41.33686
1250.0, 780625.0, 11.323054
1250.0, 780625.0, 16.760285
1250.0, 780625.0, 30.90502
1250.0, 780625.0, 66.82301
1250.0, 780625.0, 7.036179
1250.0, 780625.0, 31.583133
1250.0, 780625.0, 45.801086
1250.0, 780625.0, 15.88823
1450.0, 1050525.0, 414.715986
1450.0, 1050525.0, 44.749308
1450.0, 1050525.0, 75.742827
1450.0, 1050525.0, 40.533441
1450.0, 1050525.0, 101.479467
1450.0, 1050525.0, 28.1462
1450.0, 1050525.0, 105.111235
1450.0, 1050525.0, 100.671847
1450.0, 1050525.0, 1.66968
1450.0, 1050525.0, 136.249345
1450.0, 1050525.0, 94.815667
1450.0, 1050525.0, 130.143487
1450.0, 1050525.0, 145.06998
1450.0, 1050525.0, 127.946909
1450.0, 1050525.0, 1608.317366
1450.0, 1050525.0, 56.6568
1450.0, 1050525.0, 1.648249
1450.0, 1050525.0, 77.25862
1450.0, 1050525.0, 10.550806
1450.0, 1050525.0, 37.142406
1450.0, 1050525.0, 49.488408
1450.0, 1050525.0, 66.08848
1450.0, 1050525.0, 87.414219
1450.0, 1050525.0, 39.094538
1450.0, 1050525.0, 12.960716
1450.0, 1050525.0, 47.550189
1450.0, 1050525.0, 43.492084
1450.0, 1050525.0, 21.32564
1450.0, 1050525.0, 70.632861
1450.0, 1050525.0, 67.055259
1450.0, 1050525.0, 68.948162
1450.0, 1050525.0, 23.800784
1450.0, 1050525.0, 75.49553
1450.0, 1050525.0, 52.534162
1450.0, 1050525.0, 26.174221
1450.0, 1050525.0, 22.870909
1450.0, 1050525.0, 70.079133
1450.0, 1050525.0, 38.905244
1450.0, 1050525.0, 10.990386
1450.0, 1050525.0, 0.565268
1650.0, 1360425.0, 278.644661
1650.0, 1360425.0, 19.276662
1650.0, 1360425.0, 118.936486
1650.0, 1360425.0, 52.0417
1650.0, 1360425.0, 24.759511
1650.0, 1360425.0, 13.682765
1650.0, 1360425.0, 134.150441
1650.0, 1360425.0, 108.372146
1650.0, 1360425.0, 67.883364
1650.0, 1360425.0, 66.516924
1650.0, 1360425.0, 113.876934
1650.0, 1360425.0, 12.710162
1650.0, 1360425.0, 193.286513
1650.0, 1360425.0, 107.84029
1650.0, 1360425.0, 62.616098
1650.0, 1360425.0, 75.132934
1650.0, 1360425.0, 88.253899
1650.0, 1360425.0, 37.029215
1650.0, 1360425.0, 42.40773
1650.0, 1360425.0, 114.83439
1650.0, 1360425.0, 11.458814
1650.0, 1360425.0, 122.085398
1650.0, 1360425.0, 87.224984
1650.0, 1360425.0, 90.778838
1650.0, 1360425.0, 31.603481
1650.0, 1360425.0, 88.475141
1650.0, 1360425.0, 68.591734
1650.0, 1360425.0, 117.707176
1650.0, 1360425.0, 133.21471
1650.0, 1360425.0, 89.095688
1650.0, 1360425.0, 79.094743
1650.0, 1360425.0, 40.010971
1650.0, 1360425.0, 95.44878
1650.0, 1360425.0, 22.105762
1650.0, 1360425.0, 61.448497
1650.0, 1360425.0, 21.159194
1650.0, 1360425.0, 38.980599
1650.0, 1360425.0, 44.327649
1650.0, 1360425.0, 64.165208
1650.0, 1360425.0, 68.548876
1850.0, 1710325.0, 2839.76695
1850.0, 1710325.0, 119.259042
1850.0, 1710325.0, 20.942476
1850.0, 1710325.0, 142.959961
1850.0, 1710325.0, 143.939897
1850.0, 1710325.0, 48.40668
1850.0, 1710325.0, 145.679369
1850.0, 1710325.0, 144.954915
1850.0, 1710325.0, 84.512177
1850.0, 1710325.0, 110.647347
1850.0, 1710325.0, 219.270341
1850.0, 1710325.0, 77.982836
1850.0, 1710325.0, 91.542847
1850.0, 1710325.0, 55.039563
1850.0, 1710325.0, 115.217498
1850.0, 1710325.0, 145.289596
1850.0, 1710325.0, 139.024854
1850.0, 1710325.0, 147.542158
1850.0, 1710325.0, 42.122918
1850.0, 1710325.0, 52.929952
1850.0, 1710325.0, 85.121098
1850.0, 1710325.0, 104.74897
1850.0, 1710325.0, 80.95432
1850.0, 1710325.0, 122.843331
1850.0, 1710325.0, 155.355919
1850.0, 1710325.0, 159.076032
1850.0, 1710325.0, 111.825906
1850.0, 1710325.0, 161.432292
1850.0, 1710325.0, 139.420417
1850.0, 1710325.0, 97.484505
1850.0, 1710325.0, 157.550989
1850.0, 1710325.0, 97.617708
1850.0, 1710325.0, 158.083741
1850.0, 1710325.0, 84.244876
1850.0, 1710325.0, 97.45458
1850.0, 1710325.0, 133.553747
1850.0, 1710325.0, 150.556283
1850.0, 1710325.0, 33.385059
1850.0, 1710325.0, 105.523591
1850.0, 1710325.0, 140.586297
2001.0, 2001000.0, 158.414183
2001.0, 2001000.0, 128.18184
2001.0, 2001000.0, 122.032812
2001.0, 2001000.0, 323.585529
2001.0, 2001000.0, 94.478346
2001.0, 2001000.0, 121.099472
2001.0, 2001000.0, 132.057876
2001.0, 2001000.0, 127.203187
2001.0, 2001000.0, 65.304509
2001.0, 2001000.0, 17.423547
2001.0, 2001000.0, 53.973418
2001.0, 2001000.0, 200.283171
2001.0, 2001000.0, 130.948958
2001.0, 2001000.0, 151.663159
2001.0, 2001000.0, 188.662988
2001.0, 2001000.0, 60.106985
2001.0, 2001000.0, 180.937413
2001.0, 2001000.0, 14.673242
2001.0, 2001000.0, 280.632162
2001.0, 2001000.0, 244.996013
2001.0, 2001000.0, 221.465886
2001.0, 2001000.0, 124.678386
2001.0, 2001000.0, 174.576449
2001.0, 2001000.0, 276.057905
2001.0, 2001000.0, 12.463263
2001.0, 2001000.0, 186.682001
2001.0, 2001000.0, 262.547974
2001.0, 2001000.0, 85.564777
2001.0, 2001000.0, 239.731259
2001.0, 2001000.0, 170.776288
2001.0, 2001000.0, 223.73639
2001.0, 2001000.0, 92.063376
2001.0, 2001000.0, 55.347249
2001.0, 2001000.0, 154.620279
2001.0, 2001000.0, 163.106949
2001.0, 2001000.0, 133.954727
2001.0, 2001000.0, 147.368794
2001.0, 2001000.0, 82.608716
2001.0, 2001000.0, 171.770181
2001.0, 2001000.0, 51.223845
