V,E,T(n) fibo
50.0, 1225.0, 26.88409
50.0, 1225.0, 0.796793
50.0, 1225.0, 1.95837
50.0, 1225.0, 2.303086
50.0, 1225.0, 0.702095
50.0, 1225.0, 2.182013
50.0, 1225.0, 2.044271
50.0, 1225.0, 1.485894
50.0, 1225.0, 1.787125
50.0, 1225.0, 1.736892
50.0, 1225.0, 1.664795
50.0, 1225.0, 1.86593
50.0, 1225.0, 1.341579
50.0, 1225.0, 0.192534
50.0, 1225.0, 0.469353
50.0, 1225.0, 1.758759
50.0, 1225.0, 0.181277
50.0, 1225.0, 1.301463
50.0, 1225.0, 1.278628
50.0, 1225.0, 0.488969
50.0, 1225.0, 0.453848
50.0, 1225.0, 1.63772
50.0, 1225.0, 1.03847
50.0, 1225.0, 1.445356
50.0, 1225.0, 0.42717
50.0, 1225.0, 0.383075
50.0, 1225.0, 0.440199
50.0, 1225.0, 0.219002
50.0, 1225.0, 0.271382
50.0, 1225.0, 1.554846
50.0, 1225.0, 0.304723
50.0, 1225.0, 0.297928
50.0, 1225.0, 1.043609
50.0, 1225.0, 0.29269
50.0, 1225.0, 0.141393
50.0, 1225.0, 1.004677
50.0, 1225.0, 1.480894
50.0, 1225.0, 1.483157
50.0, 1225.0, 1.469987
50.0, 1225.0, 0.449367
250.0, 31125.0, 13.432792
250.0, 31125.0, 8.103584
250.0, 31125.0, 6.775041
250.0, 31125.0, 3.575929
250.0, 31125.0, 4.856358
250.0, 31125.0, 5.839682
250.0, 31125.0, 3.664213
250.0, 31125.0, 3.74583
250.0, 31125.0, 10.966047
250.0, 31125.0, 1.835399
250.0, 31125.0, 10.00674
250.0, 31125.0, 8.160659
250.0, 31125.0, 12.789394
250.0, 31125.0, 11.026564
250.0, 31125.0, 6.403994
250.0, 31125.0, 11.823025
250.0, 31125.0, 14.370327
250.0, 31125.0, 12.216673
250.0, 31125.0, 3.394054
250.0, 31125.0, 12.528313
250.0, 31125.0, 9.749686
250.0, 31125.0, 5.365982
250.0, 31125.0, 7.804867
250.0, 31125.0, 13.478077
250.0, 31125.0, 13.032291
250.0, 31125.0, 9.575369
250.0, 31125.0, 0.662462
250.0, 31125.0, 7.019436
250.0, 31125.0, 8.105488
250.0, 31125.0, 4.247917
250.0, 31125.0, 0.678361
250.0, 31125.0, 13.773468
250.0, 31125.0, 10.306607
250.0, 31125.0, 13.933634
250.0, 31125.0, 8.819598
250.0, 31125.0, 11.677308
250.0, 31125.0, 7.850762
250.0, 31125.0, 8.029237
250.0, 31125.0, 5.304943
