V,E,T(n) std
50.0, 1225.0, 0.759664
50.0, 1225.0, 0.68357
50.0, 1225.0, 0.316921
50.0, 1225.0, 0.646558
50.0, 1225.0, 1.363929
50.0, 1225.0, 0.822523
50.0, 1225.0, 1.243851
50.0, 1225.0, 0.229337
50.0, 1225.0, 0.325796
50.0, 1225.0, 0.87295
50.0, 1225.0, 0.749317
50.0, 1225.0, 0.365687
50.0, 1225.0, 0.226577
50.0, 1225.0, 0.688991
50.0, 1225.0, 0.442135
50.0, 1225.0, 0.135073
50.0, 1225.0, 0.109851
50.0, 1225.0, 0.03912
50.0, 1225.0, 0.040917
50.0, 1225.0, 0.115761
50.0, 1225.0, 0.059687
50.0, 1225.0, 0.305268
50.0, 1225.0, 0.168946
50.0, 1225.0, 0.0428
50.0, 1225.0, 0.255434
50.0, 1225.0, 0.064095
50.0, 1225.0, 0.216565
50.0, 1225.0, 0.118435
50.0, 1225.0, 0.047417
50.0, 1225.0, 0.138025
50.0, 1225.0, 0.096814
50.0, 1225.0, 0.050117
50.0, 1225.0, 0.17335
50.0, 1225.0, 0.048874
50.0, 1225.0, 0.159097
50.0, 1225.0, 0.171393
50.0, 1225.0, 0.060412
50.0, 1225.0, 0.023773
50.0, 1225.0, 0.185592
50.0, 1225.0, 0.25935
250.0, 31125.0, 4.393921
250.0, 31125.0, 8.277127
250.0, 31125.0, 4.446218
250.0, 31125.0, 2.053519
250.0, 31125.0, 3.559598
250.0, 31125.0, 7.362015
250.0, 31125.0, 4.235142
250.0, 31125.0, 5.043426
250.0, 31125.0, 5.08067
250.0, 31125.0, 2.924676
250.0, 31125.0, 0.517925
250.0, 31125.0, 6.217174
250.0, 31125.0, 6.242627
250.0, 31125.0, 4.977912
250.0, 31125.0, 2.571385
250.0, 31125.0, 1.355836
250.0, 31125.0, 1.468567
250.0, 31125.0, 3.851639
250.0, 31125.0, 3.550197
250.0, 31125.0, 0.893481
250.0, 31125.0, 2.46806
250.0, 31125.0, 2.658716
250.0, 31125.0, 4.186148
250.0, 31125.0, 3.622104
250.0, 31125.0, 4.998411
250.0, 31125.0, 5.055431
250.0, 31125.0, 3.728316
250.0, 31125.0, 3.794351
250.0, 31125.0, 4.884633
250.0, 31125.0, 5.046803
250.0, 31125.0, 0.850197
250.0, 31125.0, 2.875231
250.0, 31125.0, 3.88821
250.0, 31125.0, 5.22739
250.0, 31125.0, 5.271662
250.0, 31125.0, 4.316904
250.0, 31125.0, 4.065815
250.0, 31125.0, 2.464507
250.0, 31125.0, 3.533245
250.0, 31125.0, 3.220024
450.0, 101025.0, 6.76155
450.0, 101025.0, 10.451418
450.0, 101025.0, 11.005829
450.0, 101025.0, 10.001126
450.0, 101025.0, 8.232119
450.0, 101025.0, 7.808279
450.0, 101025.0, 9.922925
450.0, 101025.0, 11.165369
450.0, 101025.0, 8.276499
450.0, 101025.0, 4.506785
450.0, 101025.0, 2.290524
450.0, 101025.0, 8.339029
450.0, 101025.0, 1.805394
450.0, 101025.0, 9.441319
450.0, 101025.0, 11.266805
450.0, 101025.0, 7.016269
450.0, 101025.0, 10.179194
450.0, 101025.0, 8.578933
450.0, 101025.0, 2.716965
450.0, 101025.0, 1.300873
450.0, 101025.0, 10.614665
450.0, 101025.0, 11.909621
450.0, 101025.0, 13.767194
450.0, 101025.0, 9.123588
450.0, 101025.0, 5.636459
450.0, 101025.0, 2.722504
450.0, 101025.0, 13.042953
450.0, 101025.0, 13.680974
450.0, 101025.0, 0.370311
450.0, 101025.0, 14.028441
450.0, 101025.0, 12.754234
450.0, 101025.0, 5.092071
450.0, 101025.0, 11.329658
450.0, 101025.0, 10.848056
450.0, 101025.0, 11.863153
450.0, 101025.0, 4.221355
450.0, 101025.0, 2.984275
450.0, 101025.0, 2.858334
450.0, 101025.0, 15.826169
450.0, 101025.0, 19.507067
650.0, 210925.0, 20.389913
650.0, 210925.0, 19.611212
650.0, 210925.0, 5.047049
650.0, 210925.0, 21.870666
650.0, 210925.0, 21.815168
650.0, 210925.0, 26.936903
650.0, 210925.0, 3.200319
650.0, 210925.0, 5.805546
650.0, 210925.0, 5.3207
650.0, 210925.0, 23.351993
650.0, 210925.0, 4.602956
650.0, 210925.0, 6.987891
650.0, 210925.0, 15.902564
650.0, 210925.0, 7.889922
650.0, 210925.0, 24.343456
650.0, 210925.0, 19.334405
650.0, 210925.0, 21.344699
650.0, 210925.0, 25.205467
650.0, 210925.0, 21.618818
650.0, 210925.0, 34.20813
650.0, 210925.0, 20.749061
650.0, 210925.0, 24.487247
650.0, 210925.0, 7.555984
650.0, 210925.0, 5.509695
650.0, 210925.0, 20.033745
650.0, 210925.0, 7.291608
650.0, 210925.0, 24.821651
650.0, 210925.0, 15.097285
650.0, 210925.0, 5.688292
650.0, 210925.0, 24.788245
650.0, 210925.0, 22.850499
650.0, 210925.0, 22.5245
650.0, 210925.0, 20.513271
650.0, 210925.0, 20.049596
650.0, 210925.0, 13.586769
650.0, 210925.0, 15.436446
650.0, 210925.0, 20.644549
650.0, 210925.0, 6.692646
650.0, 210925.0, 289.270792
650.0, 210925.0, 11.944433
850.0, 360825.0, 4.977597
850.0, 360825.0, 50.798903
850.0, 360825.0, 11.296225
850.0, 360825.0, 39.627117
850.0, 360825.0, 10.272488
850.0, 360825.0, 288.585717
