n, T(n) first,T(n) second
200, 0.6336787570391451, 0.8464094517010666
1000, 20.70945032638845, 27.621203605370585
1800, 72.82968374355698, 97.12243764174198
2600, 159.4261601759493, 212.59224123025402
3400, 281.8908962260913, 375.8496928318443
4200, 441.3629227333339, 588.4773330263266
5000, 638.6191454923895, 851.4837993458814
5800, 874.433162681183, 1165.967588612604
6600, 1149.1916299038874, 1532.3206017681996
7400, 1463.4773149835728, 1951.3766368721408
8200, 1817.5827465022521, 2423.427193007434
9000, 2212.1823258105333, 2949.557800534906
9800, 2647.6823372432264, 3530.342356557045
10600, 3123.869827102685, 4165.136667298
11400, 3641.586836763355, 4855.423717282852
12200, 4201.162484075667, 5601.675304856231
13000, 4802.414960356395, 6403.354041915375
